104.18.33.81:2087#SG 电信优选[77ms]
8.39.125.77:2087#SG 电信优选[82ms]
8.39.125.150:8443#SG 电信优选[82ms]
8.35.211.62:2053#SG 电信优选[83ms]
188.164.248.153:2083#SG 电信优选[83ms]
8.39.125.45:2087#SG 电信优选[83ms]
104.18.33.33:2096#SG 电信优选[83ms]
104.18.33.245:8443#SG 电信优选[83ms]
8.39.125.69:2096#SG 电信优选[83ms]
8.35.211.178:2096#SG 电信优选[83ms]
8.39.125.203:443#SG 电信优选[84ms]
8.35.211.15:2083#SG 电信优选[84ms]
8.35.211.211:2083#SG 电信优选[84ms]
8.39.125.125:2083#SG 电信优选[84ms]
8.39.125.148:2087#SG 电信优选[85ms]
8.35.211.175:2087#SG 电信优选[85ms]
8.39.125.10:2087#SG 电信优选[85ms]
104.18.33.18:8443#SG 电信优选[88ms]
104.18.33.47:2096#SG 电信优选[88ms]
104.18.33.101:2083#SG 电信优选[88ms]
8.35.211.102:8443#SG 电信优选[88ms]
8.35.211.223:2087#SG 电信优选[89ms]
8.39.125.216:443#SG 电信优选[89ms]
8.35.211.128:2053#SG 电信优选[90ms]
104.18.33.186:2087#SG 电信优选[90ms]
8.39.125.122:8443#SG 电信优选[90ms]
8.39.125.25:2053#SG 电信优选[91ms]
8.35.211.71:2096#SG 电信优选[91ms]
8.39.125.3:2087#SG 电信优选[91ms]
8.39.125.186:2053#SG 电信优选[92ms]
188.164.248.148:2083#SG 电信优选[92ms]
188.164.248.154:2096#SG 电信优选[92ms]
188.164.248.183:8443#SG 电信优选[92ms]
8.35.211.79:2096#SG 电信优选[92ms]
104.18.33.67:2083#SG 电信优选[92ms]
8.35.211.88:2096#SG 电信优选[93ms]
188.164.248.69:2083#SG 电信优选[93ms]
104.18.33.215:2096#SG 电信优选[93ms]
8.39.125.220:2087#SG 电信优选[94ms]
8.35.211.6:2087#SG 电信优选[94ms]
188.164.248.42:2087#SG 电信优选[94ms]
188.164.248.214:443#SG 电信优选[94ms]
104.18.33.28:2087#SG 电信优选[95ms]
104.18.33.40:2096#SG 电信优选[95ms]
188.164.248.220:8443#SG 电信优选[95ms]
104.18.33.198:2087#SG 电信优选[95ms]
188.164.248.99:2083#SG 电信优选[96ms]
188.164.248.248:443#SG 电信优选[96ms]
188.164.248.173:443#SG 电信优选[97ms]
8.39.125.74:2053#SG 电信优选[97ms]
8.35.211.252:2053#SG 电信优选[97ms]
188.164.248.196:8443#SG 电信优选[98ms]
188.164.248.135:8443#SG 电信优选[99ms]
8.35.211.89:2053#SG 电信优选[100ms]
8.35.211.154:443#SG 电信优选[100ms]
8.39.125.165:2087#SG 电信优选[101ms]
8.39.125.181:8443#SG 电信优选[101ms]
8.39.125.119:443#SG 电信优选[102ms]
188.164.248.14:2087#SG 电信优选[102ms]
188.164.248.8:2083#SG 电信优选[105ms]
104.18.33.164:2083#SG 电信优选[108ms]
104.18.33.251:2087#SG 电信优选[108ms]
8.35.211.28:443#SG 电信优选[110ms]
8.35.211.191:8443#SG 电信优选[114ms]
104.18.33.109:2087#SG 电信优选[114ms]
104.18.33.64:2083#SG 电信优选[121ms]
104.18.33.23:443#SG 电信优选[122ms]
188.164.248.140:2053#SG 电信优选[124ms]
8.39.125.147:2053#SG 电信优选[124ms]
104.18.33.73:2053#SG 电信优选[125ms]
8.35.211.92:2083#SG 电信优选[126ms]
8.35.211.172:2096#SG 电信优选[126ms]
104.18.33.182:2087#SG 电信优选[129ms]
188.164.248.208:2096#SG 电信优选[131ms]
